Region,Sub-region,Market,2017 Q4,Rank 2017 Q4,2018 Q1,Rank 2018 Q1,2018 Q4,Rank 2018 Q4,2019 Q1,Rank 2019 Q1
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Bangladesh,81657.0,18.0,61458.0,25.0,23223.0,35.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Cambodia,NAN,NAN,NAN,NAN,20281.0,37.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),India,8131714.0,2.0,9070245.0,2.0,9937345.0,1.0,1041455.0,2.0
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Indonesia,813366.0,3.0,1674231.0,3.0,1947042.0,3.0,159570.0,5.0
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Malaysia,78182.0,20.0,158511.0,14.0,155490.0,11.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Myanmar,667657.0,4.0,410366.0,6.0,291210.0,8.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Pakistan,65988.0,23.0,38454.0,32.0,26452.0,34.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Philippines,11649.0,37.0,34220.0,34.0,40763.0,26.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Rest of Asia Pacific,561436.0,5.0,285653.0,10.0,132189.0,13.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Singapore,23997.0,34.0,55414.0,26.0,45114.0,24.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),South Korea,NAN,NAN,NAN,NAN,19330.0,38.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Sri Lanka,16864.0,36.0,33531.0,35.0,9720.0,48.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Thailand,31653.0,29.0,185321.0,11.0,120086.0,16.0,NAN,NAN
Asia Pacific (excludes Greater China),Asia Pacific (excludes Greater China),Vietnam,133645.0,14.0,173881.0,13.0,122030.0,15.0,NAN,NAN
"Europe, Middle East & Africa",Africa,Egypt,NAN,NAN,98782.0,18.0,152305.0,12.0,NAN,NAN
"Europe, Middle East & Africa",Africa,Kenya,7665.0,39.0,8763.0,44.0,21379.0,36.0,NAN,NAN
"Europe, Middle East & Africa",Africa,Nigeria,30650.0,32.0,833.0,46.0,NAN,NAN,NAN,NAN
"Europe, Middle East & Africa",Africa,Rest of Africa,316513.0,9.0,98544.0,19.0,10821.0,47.0,NAN,NAN
"Europe, Middle East & Africa",Africa,South Africa,51326.0,26.0,11523.0,43.0,6859.0,51.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Croatia,NAN,NAN,21311.0,39.0,12208.0,45.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Czech Republic,121646.0,16.0,108330.0,17.0,48062.0,23.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Estonia,NAN,NAN,36459.0,33.0,7229.0,50.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Hungary,30658.0,31.0,23131.0,37.0,17509.0,40.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Latvia,NAN,NAN,15248.0,41.0,6780.0,52.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Lithuania,NAN,NAN,12369.0,42.0,NAN,NAN,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Poland,284681.0,11.0,174652.0,12.0,111413.0,17.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Rest of Central & Eastern Europe,400651.0,7.0,289148.0,9.0,125849.0,14.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Romania,NAN,NAN,27121.0,36.0,32806.0,30.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Russia,486423.0,6.0,912570.0,4.0,1312681.0,4.0,178533.0,4.0
"Europe, Middle East & Africa",Central & Eastern Europe,Slovakia,NAN,NAN,21497.0,38.0,14129.0,42.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Slovenia,NAN,NAN,NAN,NAN,13389.0,43.0,NAN,NAN
"Europe, Middle East & Africa",Central & Eastern Europe,Ukraine,231499.0,12.0,148320.0,15.0,375588.0,7.0,NAN,NAN
"Europe, Middle East & Africa",Middle East,Israel,8561.0,38.0,39200.0,31.0,33294.0,29.0,NAN,NAN
"Europe, Middle East & Africa",Middle East,Kuwait,31566.0,30.0,4581.0,45.0,NAN,NAN,NAN,NAN
"Europe, Middle East & Africa",Middle East,Qatar,29473.0,33.0,51634.0,28.0,NAN,NAN,NAN,NAN
"Europe, Middle East & Africa",Middle East,Rest of Middle East,20511.0,35.0,48653.0,30.0,27914.0,33.0,NAN,NAN
"Europe, Middle East & Africa",Middle East,Saudi Arabia,83665.0,17.0,63529.0,23.0,29313.0,32.0,NAN,NAN
"Europe, Middle East & Africa",Middle East,Turkey,71652.0,21.0,108864.0,16.0,65532.0,22.0,NAN,NAN
"Europe, Middle East & Africa",Middle East,United Arab Emirates,165330.0,13.0,341651.0,7.0,400590.0,6.0,NAN,NAN
"Europe, Middle East & Africa",Western Europe,Austria,NAN,NAN,NAN,NAN,38805.0,27.0,NAN,NAN
"Europe, Middle East & Africa",Western Europe,Belgium,NAN,NAN,NAN,NAN,11719.0,46.0,NAN,NAN
